,repetition_number,weight_index,weight_tuple,num_iterations,normalised_speed_reward,normalised_energy_reward,raw_speed_reward,raw_energy_reward,env_config_id,gamma,replay_buffer_size,use_reward_normalisation_wrapper,use_default_reward_normalisation,network_hidden_sizes
0,0,0,"[0.0, 1.0]",80,0.09058334999036613,0.9986322356556686,7.24666799922929,79.89057885245349,0,0.9,1000,False,True,"[128, 128]"
1,1,0,"[0.0, 1.0]",80,0.09135391750274587,0.9993898114132443,7.308313400219669,79.95118491305955,0,0.9,1000,False,True,"[128, 128]"
2,2,0,"[0.0, 1.0]",80,0.08760408766930841,0.9956019326253654,7.0083270135446725,79.64815461002924,0,0.9,1000,False,True,"[128, 128]"
3,3,0,"[0.0, 1.0]",80,0.053096341745170264,0.9611322356556679,4.247707339613621,76.89057885245343,0,0.9,1000,False,True,"[128, 128]"
4,4,0,"[0.0, 1.0]",80,0.08906794390182296,0.997117084140517,7.125435512145837,79.76936673124136,0,0.9,1000,False,True,"[128, 128]"
5,5,0,"[0.0, 1.0]",80,0.08986199924806013,0.9978746598980928,7.18895993984481,79.82997279184742,0,0.9,1000,False,True,"[128, 128]"
6,6,0,"[0.0, 1.0]",80,0.06866472784719245,0.9766625386859713,5.493178227775396,78.13300309487771,0,0.9,1000,False,True,"[128, 128]"
7,7,0,"[0.0, 1.0]",80,0.09058334999036613,0.9986322356556686,7.24666799922929,79.89057885245349,0,0.9,1000,False,True,"[128, 128]"
8,8,0,"[0.0, 1.0]",80,0.09135391750274587,0.9993898114132443,7.308313400219669,79.95118491305955,0,0.9,1000,False,True,"[128, 128]"
9,9,0,"[0.0, 1.0]",80,0.09100008995090889,0.9990110235344565,7.28000719607271,79.92088188275652,0,0.9,1000,False,True,"[128, 128]"
10,10,0,"[0.0, 1.0]",80,0.09058334999036613,0.9986322356556686,7.24666799922929,79.89057885245349,0,0.9,1000,False,True,"[128, 128]"
11,11,0,"[0.0, 1.0]",80,0.08986199924806013,0.9978746598980928,7.18895993984481,79.82997279184742,0,0.9,1000,False,True,"[128, 128]"
12,12,0,"[0.0, 1.0]",80,0.09663018242865282,0.9971273772893972,7.730414594292226,79.77019018315177,0,0.9,1000,False,True,"[128, 128]"
13,13,0,"[0.0, 1.0]",80,0.08381624299735616,0.9918140538374868,6.705299439788493,79.34512430699894,0,0.9,1000,False,True,"[128, 128]"
14,14,0,"[0.0, 1.0]",80,0.0894452769766791,0.9974958720193049,7.155622158134328,79.7996697615444,0,0.9,1000,False,True,"[128, 128]"
15,15,0,"[0.0, 1.0]",80,0.08605088719971517,0.9940867811102141,6.884070975977213,79.52694248881713,0,0.9,1000,False,True,"[128, 128]"
16,16,0,"[0.0, 1.0]",80,0.09058334999036613,0.9986322356556686,7.24666799922929,79.89057885245349,0,0.9,1000,False,True,"[128, 128]"
17,17,0,"[0.0, 1.0]",80,0.091770788453253,0.9997685992920322,7.3416630762602395,79.98148794336258,0,0.9,1000,False,True,"[128, 128]"
18,18,0,"[0.0, 1.0]",80,0.08760408766930841,0.9956019326253654,7.0083270135446725,79.64815461002924,0,0.9,1000,False,True,"[128, 128]"
19,19,0,"[0.0, 1.0]",80,0.09135391750274587,0.9993898114132443,7.308313400219669,79.95118491305955,0,0.9,1000,False,True,"[128, 128]"
20,0,1,"[0.03421713932767315, 0.9657828606723269]",80,0.09058334999036613,0.9986322356556686,7.24666799922929,79.89057885245349,0,0.9,1000,False,True,"[128, 128]"
21,1,1,"[0.03421713932767315, 0.9657828606723269]",80,0.08908118574424255,0.997117084140517,7.126494859539404,79.76936673124136,0,0.9,1000,False,True,"[128, 128]"
22,2,1,"[0.03421713932767315, 0.9657828606723269]",80,0.06260412178658646,0.970601932625365,5.008329742926917,77.6481546100292,0,0.9,1000,False,True,"[128, 128]"
23,3,1,"[0.03421713932767315, 0.9657828606723269]",80,0.08608897027143476,0.9940867811102139,6.887117621714781,79.52694248881711,0,0.9,1000,False,True,"[128, 128]"
24,4,1,"[0.03421713932767315, 0.9657828606723269]",80,0.0856953325812155,0.9937079932314262,6.855626606497241,79.4966394585141,0,0.9,1000,False,True,"[128, 128]"
25,5,1,"[0.03421713932767315, 0.9657828606723269]",80,0.0868465460290075,0.9948443568677897,6.9477236823206,79.58754854942318,0,0.9,1000,False,True,"[128, 128]"
26,6,1,"[0.03421713932767315, 0.9657828606723269]",80,0.09100008995090889,0.9990110235344565,7.28000719607271,79.92088188275652,0,0.9,1000,False,True,"[128, 128]"
27,7,1,"[0.03421713932767315, 0.9657828606723269]",80,0.08717425907101321,0.9952231447465776,6.973940725681057,79.6178515797262,0,0.9,1000,False,True,"[128, 128]"
28,8,1,"[0.03421713932767315, 0.9657828606723269]",80,0.09135391750274587,0.9993898114132443,7.308313400219669,79.95118491305955,0,0.9,1000,False,True,"[128, 128]"
29,9,1,"[0.03421713932767315, 0.9657828606723269]",80,0.09400378960236473,0.9944758621378821,7.520303168189178,79.55806897103056,0,0.9,1000,False,True,"[128, 128]"
30,10,1,"[0.03421713932767315, 0.9657828606723269]",80,0.07851321269567726,0.9865110235344565,6.281057015654181,78.92088188275652,0,0.9,1000,False,True,"[128, 128]"
31,11,1,"[0.03421713932767315, 0.9657828606723269]",80,0.091770788453253,0.9997685992920322,7.3416630762602395,79.98148794336258,0,0.9,1000,False,True,"[128, 128]"
32,12,1,"[0.03421713932767315, 0.9657828606723269]",80,0.08722336616051199,0.9952231447465776,6.977869292840959,79.6178515797262,0,0.9,1000,False,True,"[128, 128]"
33,13,1,"[0.03421713932767315, 0.9657828606723269]",80,0.08154351572597722,0.9895413265647595,6.523481258078178,79.16330612518075,0,0.9,1000,False,True,"[128, 128]"
34,14,1,"[0.03421713932767315, 0.9657828606723269]",80,0.08836143848246059,0.9963595083829413,7.068915078596847,79.7087606706353,0,0.9,1000,False,True,"[128, 128]"
35,15,1,"[0.03421713932767315, 0.9657828606723269]",80,0.06712300704645169,0.9675819227439421,5.369840563716135,77.40655381951537,0,0.9,1000,False,True,"[128, 128]"
36,16,1,"[0.03421713932767315, 0.9657828606723269]",80,0.09325937068146381,0.9937182863803062,7.460749654517104,79.4974629104245,0,0.9,1000,False,True,"[128, 128]"
37,17,1,"[0.03421713932767315, 0.9657828606723269]",80,0.08718721671880997,0.9952231447465776,6.974977337504797,79.6178515797262,0,0.9,1000,False,True,"[128, 128]"
38,18,1,"[0.03421713932767315, 0.9657828606723269]",80,0.0837781599269883,0.9918140538374868,6.7022527941590635,79.34512430699894,0,0.9,1000,False,True,"[128, 128]"
39,19,1,"[0.03421713932767315, 0.9657828606723269]",80,0.031164727847192607,0.9391625386859704,2.4931782277754087,75.13300309487764,0,0.9,1000,False,True,"[128, 128]"
40,0,2,"[0.06867017166121166, 0.9313298283387883]",80,0.08722336616051199,0.9952231447465776,6.977869292840959,79.6178515797262,0,0.9,1000,False,True,"[128, 128]"
41,1,2,"[0.06867017166121166, 0.9313298283387883]",80,0.09135391750274587,0.9993898114132443,7.308313400219669,79.95118491305955,0,0.9,1000,False,True,"[128, 128]"
42,2,2,"[0.06867017166121166, 0.9313298283387883]",80,0.08949805669474965,0.9974958720193049,7.159844535579972,79.7996697615444,0,0.9,1000,False,True,"[128, 128]"
43,3,2,"[0.06867017166121166, 0.9313298283387883]",80,0.031164727847192607,0.9391625386859704,2.4931782277754087,75.13300309487764,0,0.9,1000,False,True,"[128, 128]"
44,4,2,"[0.06867017166121166, 0.9313298283387883]",80,0.09025538172548343,0.9982534477768807,7.220430538038674,79.86027582215046,0,0.9,1000,False,True,"[128, 128]"
45,5,2,"[0.06867017166121166, 0.9313298283387883]",80,0.08947149188467408,0.9899304075924276,7.1577193507739265,79.1944326073942,0,0.9,1000,False,True,"[128, 128]"
46,6,2,"[0.06867017166121166, 0.9313298283387883]",80,0.09058334999036613,0.9986322356556686,7.24666799922929,79.89057885245349,0,0.9,1000,False,True,"[128, 128]"
47,7,2,"[0.06867017166121166, 0.9313298283387883]",80,0.09135391750274587,0.9993898114132443,7.308313400219669,79.95118491305955,0,0.9,1000,False,True,"[128, 128]"
48,8,2,"[0.06867017166121166, 0.9313298283387883]",80,0.0894452769766791,0.9974958720193049,7.155622158134328,79.7996697615444,0,0.9,1000,False,True,"[128, 128]"
49,9,2,"[0.06867017166121166, 0.9313298283387883]",80,0.0954808277520105,0.9959910136530337,7.63846622016084,79.67928109224269,0,0.9,1000,False,True,"[128, 128]"
50,10,2,"[0.06867017166121166, 0.9313298283387883]",80,0.09663018242865282,0.9971273772893972,7.730414594292226,79.77019018315177,0,0.9,1000,False,True,"[128, 128]"
51,11,2,"[0.06867017166121166, 0.9313298283387883]",80,0.08798290966402281,0.9959807205041533,7.038632773121825,79.67845764033227,0,0.9,1000,False,True,"[128, 128]"
52,12,2,"[0.06867017166121166, 0.9313298283387883]",80,0.08684654153534435,0.9948443568677897,6.947723322827548,79.58754854942318,0,0.9,1000,False,True,"[128, 128]"
53,13,2,"[0.06867017166121166, 0.9313298283387883]",80,0.09663018242865282,0.9971273772893972,7.730414594292226,79.77019018315177,0,0.9,1000,False,True,"[128, 128]"
54,14,2,"[0.06867017166121166, 0.9313298283387883]",80,0.06146775815022283,0.9694655689890013,4.917420652017826,77.5572455191201,0,0.9,1000,False,True,"[128, 128]"
55,15,2,"[0.06867017166121166, 0.9313298283387883]",80,0.06712300704645169,0.9675819227439421,5.369840563716135,77.40655381951537,0,0.9,1000,False,True,"[128, 128]"
56,16,2,"[0.06867017166121166, 0.9313298283387883]",80,0.091770788453253,0.9997685992920322,7.3416630762602395,79.98148794336258,0,0.9,1000,False,True,"[128, 128]"
57,17,2,"[0.06867017166121166, 0.9313298283387883]",80,0.09663018242865282,0.9971273772893972,7.730414594292226,79.77019018315177,0,0.9,1000,False,True,"[128, 128]"
58,18,2,"[0.06867017166121166, 0.9313298283387883]",80,0.091770788453253,0.9997685992920322,7.3416630762602395,79.98148794336258,0,0.9,1000,False,True,"[128, 128]"
59,19,2,"[0.06867017166121166, 0.9313298283387883]",80,0.08947149188467408,0.9899304075924276,7.1577193507739265,79.1944326073942,0,0.9,1000,False,True,"[128, 128]"
60,0,3,"[0.1031570723168824, 0.8968429276831176]",80,0.06146775815022283,0.9694655689890013,4.917420652017826,77.5572455191201,0,0.9,1000,False,True,"[128, 128]"
61,1,3,"[0.1031570723168824, 0.8968429276831176]",80,0.09098664281832108,0.9914455591075789,7.278931425465687,79.31564472860632,0,0.9,1000,False,True,"[128, 128]"
